,User,Tweets,Subjectivity,Polarity,Analysis
60,NuBeeLuna,"  That's all they have insults. 🏴‍☠️
Ugly or not SHE is GUILTY. 
They don't even care about the main Point.
Truth Justice AbuseHasNoGender
Mentoo YouAreNotAlone NarcissisticAbuse 
💯🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️🏴‍☠️",0.7777777777777778,-0.3444444444444444,Negative
61,resilientheard,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
62,wolfieIiar,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
63,VisionUXpress,_mra: Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
64,JDaawgLivesHere,: And we all finally got to hear the truth. That you're a lying abusive narcissist sociopath who thrived on abusing JD ment…,1.0,0.0,Neutral
65,PeabodyMay,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
66,RebelMoonSweep,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
67,VicSinister,": They canceled JohnnyDepp with 0 Signatures, 0 Evidence, &amp; just by hearsay. They never considered JohnnyDepp's trajectory…",0.0,0.0,Neutral
68,pillai_tanya,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
69,MatthewTwihard,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
70,teriyaki_hanzo,": Catch me at San Diego Comic Con protesting Amber Heard still not being fired from Aquaman 2
_Con …",0.5,0.25,Positive
71,DemRescueDogs,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
72,justmehbleh,": Catch me at San Diego Comic Con protesting Amber Heard still not being fired from Aquaman 2
_Con …",0.5,0.25,Positive
73,haircolorjen,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
74,JDaawgLivesHere,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
75,ManishMraVeer,_mra: Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
76,linda_nathe,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
77,JDaawgLivesHere,@_nessaa90: Or if Johnny said “I wasn’t punching you I was hitting you.” Or “I can’t promise I won’t get physical.” That would be the en…,0.14285714285714285,0.0,Neutral
78,IsiYusuf,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
79,okie_granny,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
80,getosdyke,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
81,mehtabackupacc,: mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
82,HailsLouis3,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
83,ibelieveamber,mentoo crowd fail to realize that most men are assaulted by other men. you’re holding the wrong people accountable,0.5187499999999999,-0.15625,Negative
84,Jcashnicole,: Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.…,0.75,0.8,Positive
85,suddenupdraft,"Yahooo! Another great hashtag to trend. Let’s add it to the list along with some others. All you have to do is retweet.
boycottaquaman2
JohnnyDeppWillWinAgain
AmberHeardlsAnAbuser 
MenToo
AmberHeardNoACLU",0.75,0.8,Positive
86,RidhsShah,": Dear Feminists do you know ,you are blessed to be born in India.

As men are suppressed by legal ways,women tend to fee…",0.2,0.2,Positive
87,michaelJmalone1,": SALE ALERT!

💍Recently widowed and caring for his young son, Andy thinks his life is over, until he meets the  enigmatic…",0.4,0.1,Positive
88,Lou24spex,"‘Me too movement 2016 -  2017 saw some cases come forward of sexual assault in the public eye - but then unspeakable nonsense cases too. Amber heard one of many others, rampaging on about feminism and women’s rights’ MenToo doesntaddup AmberHeardIsALiar",0.4666666666666666,0.3333333333333333,Positive
89,Margo123452022,"I suspect men are afraid of people like:
Maggie Mae 🧜‍♀️ 
ProChoice, LGBTQIA+ science not religion. I block a**hole trolls.  IStandWithAmberHeard  IStandWithEvanRachelWood
MenToo JohnnyDeppWillWinAgain",0.9,-0.6,Negative
90,Dwarkadhish5,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
91,Rajeshk36386539,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
92,Rajeshk36386539,_mra: Day121 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
93,OrendaBooks,"SALE ALERT!

💍Recently widowed and caring for his young son, Andy thinks his life is over, until he meets the  enigmatic Anna. And that was his first mistake… 

's startling, emotive thriller ASuitableLie is .99 EVERYWHERE!🗺️



MenToo ",0.4583333333333333,-0.012499999999999997,Negative
94,hariegomoji,"Show me one law in India which is a protecter for Men. This GenderBiased killing more men than any Pandemic.

Mentoo Hetoo needs to be heard. Feminism is a dangerous. ",0.7,-0.04999999999999999,Negative
95,ShivankDixit15,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
96,Margo123452022, you forgot to mention Dauber. MenToo,0.0,0.0,Neutral
97,TurdBlaster911,"___: What a beautiful morning!!! 🇬🇧🏴‍☠️ HappyHourIsAnyTime MenToo
JohnnyDepp JohnnyDeppWon JohnnyDeppKeepsWinning JohnnyDepp…",1.0,1.0,Positive
98,_nessaa90,": Amber Heard’s greatest achievement may be that she’s helped ignite a MenToo Dialogue, not a MeToo Monologue.",1.0,1.0,Positive
99,HeidiRe5150,___: Lies. Manipulation. Fabrication.  Arrogance. Conceit. They really are just mini 💩's aren't they? This is horrifying. Wow. 😨…,0.7333333333333334,-0.19999999999999998,Negative
100,JanMSmith3,"___: Karma is knowing that if Eve Fartlow had chosen TRUTH, FAIRNESS &amp; JUSTICE... she might have been in with her idol by now. 😏…",0.0,0.0,Neutral
101,JanMSmith3,"___: What a beautiful morning!!! 🇬🇧🏴‍☠️ HappyHourIsAnyTime MenToo
JohnnyDepp JohnnyDeppWon JohnnyDeppKeepsWinning JohnnyDepp…",1.0,1.0,Positive
102,JanMSmith3,"___: SOME of the things 💩 has said DIRECTLY TO JD - Not a txt to a friend, not an incoming msg, not a Monty Python reference. Men…",0.4,-0.05,Negative
103,Margo123452022," I won't put a 'heart' on your post, because the AH stans would take that as a positive for AH! lol  The trial is a MENTOO trial. It is not an ""Amber Heard"" show -- it's ""Amber Heard Abused her Husband and the trial proved it"" JohnnyDeppWillWinAgain JohnnyDeppWON",0.6227272727272727,0.5420454545454545,Positive
104,RonaldoLGBTIPTY,": Indian Legal System + Women Empowerment = False Cases

MenToo",0.4,-0.10000000000000003,Negative
105,_nessaa90,"Or if Johnny said “I wasn’t punching you I was hitting you.” Or “I can’t promise I won’t get physical.” That would be the end of Johnny. But since AmberHeardlsAnAbuser said and did these things, she gets support from MSM. 🤦🏽‍♀️ They don’t want to believe women can abuse men.MenToo ",0.14285714285714285,0.0,Neutral
106,heleneefraimsen,"___: What a beautiful morning!!! 🇬🇧🏴‍☠️ HappyHourIsAnyTime MenToo
JohnnyDepp JohnnyDeppWon JohnnyDeppKeepsWinning JohnnyDepp…",1.0,1.0,Positive
107,PrithviCorp,": When it comes to 98,000plus Men suicides each year in India. 

GenderBiasLaws FakeCases MenToo ",0.0,0.0,Neutral
108,jessa_lou1385,":   If Amber Heard had been cross examined by a male lawyer, y’all would be screaming. Now that Cami…",0.05,0.0,Neutral
109,LRattlingGourd,": Catch me at San Diego Comic Con protesting Amber Heard still not being fired from Aquaman 2
_Con …",0.5,0.25,Positive
110,LaurelsCouture," Shenanigans must be stopped in its tracks. Though Seriously, the Feminazi needs an Injection to the butt. There's something really wrong with her &amp; she'll Never see or own it. 
AbuseIsNotAGender MenToo SpreadTheWord",0.8555555555555555,-0.07777777777777777,Negative
111,Fuben10,": Exclusive : Caught kissing Cara Delevigne - In the elevator penthouse. Where’s the fear ? Not Mr. Depp, How many people wh…",0.5,0.5,Positive
112,KernowFerrets,: Bruise kit - Amica cream AmberHeard amicacream bruisekit boycottaquaman2 Aquaman2 Hollywood makeup EveBarlow ment…,0.0,0.0,Neutral
113,FionaCh01958269,"___: What a beautiful morning!!! 🇬🇧🏴‍☠️ HappyHourIsAnyTime MenToo
JohnnyDepp JohnnyDeppWon JohnnyDeppKeepsWinning JohnnyDepp…",1.0,1.0,Positive
114,BakraofDv,"Indian Legal System + Women Empowerment = False Cases

MenToo ",0.4,-0.10000000000000003,Negative
115,hamsha2018,_mra: Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
116,Arunhirawat12,_mra: Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
117,santosh121281,_mra: Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedL…,0.0,0.0,Neutral
118,suresh_mra,"Day123 of Asking 'Will you form MensCommission &amp; SaveInnocentMen from FakeCases_498A_DV_125_377_376_354 &amp; GenderBiasedLaws



MenToo 

 











MenAreHumanToo



_MLA ",0.0,0.0,Neutral
119,franjon41977690, You are disgusting and the psychological abuse you are inflicting on Johnny a dv victim is heinous!! Foxtrot Oscar sugar he won! MenToo and I think just the one fact alone that his sister had to book 2 hotel rooms so he could escape says it all!!,0.38333333333333336,-0.4096272786458333,Negative
121,VS_Cumbria,"_Bridgeway: Need to find us in the fields? 
Head over to thevillagegreen or listen out for the jinglebells 💚

kendalcalling seey…",0.0,0.0,Neutral
122,Sarahplace27,"_Bridgeway: Need to find us in the fields? 
Head over to thevillagegreen or listen out for the jinglebells 💚

kendalcalling seey…",0.0,0.0,Neutral
123,Yukonlass,":    This is NOT and never will be how an abused person talks to her alleged abuser, EVER!!…",0.1,-0.1,Negative
125,NatashaFiona46,": May 22, 2016 13h01 pm - Mrs. Heard texting Mr. Musk one day after the phone incident went to her friend birthday party. Sh…",0.0,0.0,Neutral
126,carlosm03695566,": Amber Heard’s greatest achievement may be that she’s helped ignite a MenToo Dialogue, not a MeToo Monologue.",1.0,1.0,Positive
127,NuBeeLuna," I guess you've been reading the AH followers tweets and replies.  They are nasty and don't know the difference between supporting and attacking. 
Truth Justice AbuseHasNoGender
Mentoo YouAreNotAlone NarcissisticAbuse",0.625,-0.375,Negative
128,StaciHPI,":    This is NOT and never will be how an abused person talks to her alleged abuser, EVER!!…",0.1,-0.1,Negative
129,janamritedu,_MRA2022: Most misused law 498A in Matrimonial disputes.Asked those innocent family who have suffered immense harassment by Judi…,0.7333333333333334,0.3333333333333333,Positive
130,AisyahAlwi3,": Catch me at San Diego Comic Con protesting Amber Heard still not being fired from Aquaman 2
_Con …",0.5,0.25,Positive
131,andyt6493,": Amber Heard’s greatest achievement may be that she’s helped ignite a MenToo Dialogue, not a MeToo Monologue.",1.0,1.0,Positive
132,SBarrBrisebois,": Amber Heard’s greatest achievement may be that she’s helped ignite a MenToo Dialogue, not a MeToo Monologue.",1.0,1.0,Positive
133,pietrangelocara,"Time to forget, time to forgive, time to love again novaera MenToo destroyfeminism burningbridges freshstart ",0.6,0.5,Positive
134,Joannegib1,"_cuppa  Did you not watch every minute and all the
Evidence in this case.   You are a sad individual.  And no i am not a Depphead beforeyou come for me.  I advise you to go watch the case.  SO SHAME ON YOU ! mentoo JohnnyDeppIsASurvivor JohnnyDeppWon",0.7,-0.25,Negative
135,NuBeeLuna,"  Remember,  if you are EASILY offended you are easily MANIPULATED. 
TRUTH JUSTICE MENTOO",0.8333333333333334,0.43333333333333335,Positive
136,Dee23891896,"   This is NOT and never will be how an abused person talks to her alleged abuser, EVER!!!! _Barlow and all your and AmberTurds bots!! RealSurvivor JohnnyDeppIsASurvivor JohnnyDeppWillWinAgain JustStop MenToo RealMeToo EveBarlowIsAJoke DeppHeardTrial",0.1,-0.3814697265625,Negative
137,colwell_pam,": Amber Heard’s greatest achievement may be that she’s helped ignite a MenToo Dialogue, not a MeToo Monologue.",1.0,1.0,Positive
138,The_Bridgeway,"Need to find us in the fields? 
Head over to thevillagegreen or listen out for the jinglebells 💚

kendalcalling seeyouinthefields SpeakUp itsnotok LGBTQ MenToo cpyourchoice knowyourboundries ",0.0,0.0,Neutral
139,TWhoooooooo,"   I just outed an abuser pretending to be a survivor. Angie MenToo, who I call Archie. 

Oh yes I did. Don't fall for these impostor tactics. Be smart.",0.6428571428571429,0.21428571428571427,Positive
140,BuddhaWorship," Is this a parody account? He obviously DOES care about his fans &amp; because he came forward &amp; bared his soul other men have come forward w/ their abuse stories.  MenToo is a real thing, accept it",0.39166666666666666,0.025000000000000005,Positive
141,Lillyrose124,: Double standard: JohnnyDepp truth mentoo DomesticViolence AbuseHasNoGender amberheard viee toxicrelationship https…,0.0,0.0,Neutral
142,pillai_tanya,": pick me women : ""men mental health matters...""
""justiceforjohnnydepp mentoo""
""abuse has no gender""
""real feminists do…",0.25,0.05,Positive
143,jemma16176693,  Because she defamed him. She could have moved on and live her life but she lied. She basically admitted to defaming him and the evidence proved she abused him. If she hadn't lied no one would know anything about how she was with him. But I'm guessing you don't believe in MenToo,0.5,0.13636363636363635,Positive
144,SuzanneAccount,"   _Barlow Exactly, an actual  professor has been tweeting alot of of deplorable stuff about Johnny Depp.  check out  for a start. Her profile proudly states Stanford University Professor. He won't, but I'd love him to sue her. MenToo",0.65,0.17500000000000002,Positive
145,IhansikaJ,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
146,RkmMra,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
147,RkmMra,"_jain1: If JohnnyDeppAmberHeardTrial  has shown us anything, it’s how much a Man has to fight to prove his innocence. Women only…",0.2,0.2,Positive
148,RkmMra,_jain1: It took Amber Heard 1 day to ruin a man's life. It took Johnny Depp 6 years to get that back. She is still playing woman c…,0.0,0.0,Neutral
149,MAmitmkr,": Dear Feminists do you know ,you are blessed to be born in India.

As men are suppressed by legal ways,women tend to fee…",0.2,0.2,Positive
150,housh_andrew,"For the first time in decades, today, as I look into the mirror I’m finally happy with who I see❤️ I feel like I’m just finally being allowed to meet myself….. for the first time In a very long time I’m able to see the integrity, and resilience of this old silverback. MenToo",0.5730952380952381,0.2621428571428572,Positive
151,jemma16176693,_briar    Actually plenty believe in women. It's men they don't believe as much. MenToo,0.15000000000000002,0.1,Positive
152,VS_Cumbria,"_Bridgeway: The Bridgeway team enjoying the sunshine at kendalcalling 
We are here for any questions or concerns 💚
seeyouinthefie…",0.6,0.5,Positive
153,Sarahplace27,"_Bridgeway: The Bridgeway team enjoying the sunshine at kendalcalling 
We are here for any questions or concerns 💚
seeyouinthefie…",0.6,0.5,Positive
154,CancerGupta,": You May Like Him, Hate Him

But Thank You RanveerSingh For Exposing The Hypocrisy Of GenderBiasedLaws In India 

Voi…",0.9,-0.8,Negative
155,TWhoooooooo," 
 

Angie MenToo has just been outed as someone pretending to be a survivor of abuses, in order to bully real survivors. Their response was to mute, because I held a mirror up to their behavior. Coward. Angie is likely not Angie, but Archie.",0.65,0.1,Positive
156,raymondcuttill,: Double standard: JohnnyDepp truth mentoo DomesticViolence AbuseHasNoGender amberheard viee toxicrelationship https…,0.0,0.0,Neutral
157,Ajay_Kumar5,": Dear Feminists do you know ,you are blessed to be born in India.

As men are suppressed by legal ways,women tend to fee…",0.2,0.2,Positive
158,DeneenStam,_Skippi: This is hands down one of the best written articles I've read to date! It's spot on in every way n for those in the ba…,0.29444444444444445,0.4222222222222222,Positive
159,megcelu,_Skippi: This is hands down one of the best written articles I've read to date! It's spot on in every way n for those in the ba…,0.29444444444444445,0.4222222222222222,Positive
160,Alarielle22," No thank you. 
Just making sure it’s public that 

 do not take mental health seriously. Using and abusing staff is abhorrent. MentalHealthAwareness MenToo 
",0.5244444444444444,-0.12666666666666665,Negative
161,rupen_rana,_MRA2022: Most misused law 498A in Matrimonial disputes.Asked those innocent family who have suffered immense harassment by Judi…,0.7333333333333334,0.3333333333333333,Positive
162,ARGetting,"However, this communist property &amp; identity theft shitshow his Democrat Supermajority party, aided by dipshit Schumer, and mentoo gillibrand who fucked me when I got Berman fired at SDNY, as he wanted me to take down Wells Fargo &amp; Northwell Health &amp;c, during a fucking pandemic.",0.5962962962962963,-0.4518518518518519,Negative
163,Katt08552696," I love Gary Oldman another amazing actor with so much talent, I didn't know that he went through this. I'm glad he got to prove his innocence and get custody. 
mentoo abusehasnogender",0.675,0.45,Positive
164,Nelly3692,    Merely a slip of the hand MenToo,0.5,-0.5,Negative
165,yannis_z6,_are_human we are too soft in the way we treat feminists and  with these ideas and opinions. There is a need for a strong organisations to lawfull sue and bring to justice all the  mentoo    ,0.5416666666666666,0.26666666666666666,Positive
166,TheSaturnCentre,: If you have experienced  sexual abuse recently or historically and need support advice &amp; information our specialist fri…,0.5777777777777778,0.43333333333333335,Positive
167,TheSaturnCentre,"_Bridgeway: We will be at kendalcalling this weekend for anyone who has questions or concerns...

We are also open as usual 24/7

…",0.375,-0.125,Negative
168,yannis_z6,     &lt;These people shouldn't be near policy makers.They dont even hide their inherent sexism against men mentoo   _MenAndBoys _are_human  _are_human    _eu,0.4,0.1,Positive
169,MynationAm,": Dear Feminists do you know ,you are blessed to be born in India.

As men are suppressed by legal ways,women tend to fee…",0.2,0.2,Positive
